,name,address,distance,rating,comment,price
177,Cho Hotel,"Wanhua District , Taipei",1.4 k,8.8,Excellent,"TWD 5,081"
178,Sun Star Business Hotel,"Wanhua District , Taipei",1.4 k,7.6,Good,"TWD 4,500"
179,Art'otel Ximending Taipei,"Wanhua District , Taipei",1.4 k,8.2,Very Good,"TWD 5,238"
180,Jian Shan Hotel,"Datong District , Taipei",1.4 k,8.7,Excellent,"TWD 2,880"
181,First Hotel,"Zhongshan District, Taipei",1.4 k,7.1,Good,"TWD 1,900"
182,Ximen Citizen Hotel,"Wanhua District , Taipei",1.4 k,7.7,Good,"TWD 4,275"
183,Yomi Hotel - ShuangLian MRT,"Zhongshan District, Taipei",1.4 k,8.1,Very Good,"TWD 4,089"
184,New World Hotel,"Wanhua District , Taipei",1.5 k,7.4,Good,"TWD 2,914"
185,Fu Chang Hotel,"Wanhua District , Taipei",1.5 k,7.6,Good,"TWD 2,233"
186,Parkview Taipei,"Zhongshan District, Taipei",1.5 k,9.0,Wonderful,"TWD 9,120"
187,Citizen Hotel,"Zhongzheng District, Taipei",1.5 k,8.6,Excellent,"TWD 4,313"
188,台北馥華商旅 松江館,"Zhongshan District, Taipei",1.5 k,8.4,Very Good,"TWD 4,299"
189,Suz Hotel,"Wanhua District , Taipei",1.5 k,8.6,Excellent,"TWD 7,000"
190,Link World Hotel,"Zhongshan District, Taipei",1.5 k,8.3,Very Good,"TWD 2,880"
191,Taipei Garden Hotel - Ximending,"Zhongzheng District, Taipei",1.5 k,8.7,Excellent,"TWD 9,155"
192,綺樂文旅 康定館 Le Room Hotel Kangding,"Wanhua District , Taipei",1.5 k,6.1,Review score,"TWD 2,788"
193,Meander Taipei Hostel - Ximending,"Wanhua District , Taipei",1.5 k,8.2,Very Good,"TWD 5,010"
194,Hù House - Taipei,"Datong District , Taipei",1.6 k,8.1,Very Good,"TWD 3,780"
195,V-one Vogue Hotel,"Datong District , Taipei",1.6 k,8.2,Very Good,"TWD 3,080"
196,K Hotel Taipei Chang-An,"Zhongshan District, Taipei",1.6 k,8.6,Excellent,"TWD 5,250"
197,Kai Wei Boutique Hotel,"Zhongshan District, Taipei",1.6 k,7.1,Good,"TWD 1,980"
